Round;Step;Action;State;Observation;OsProb;Reward;Curr_rewards_discounted;Curr_rewards_undiscounted
0;0;0:a1;[ps_1:a14];[measurements:o11];0.115483;0;0;0
0;1;0:a1;[ps_1:a14];[measurements:o30];0.000481458;0;0;0
0;2;0:a1;[ps_1:a26];[measurements:o26];0.0508379;0;0;0
0;3;0:a1;[ps_1:a23];[measurements:o17];0.060774;0;0;0
0;4;0:a1;[ps_1:a30];[measurements:o41];0.0139182;0;0;0
0;5;0:a1;[ps_1:a27];[measurements:o24];0.0564289;0;0;0
0;6;0:a1;[ps_1:a27];[measurements:o36];0.0174925;0;0;0
0;7;1:a2;[ps_1:a35];[measurements:o22];0.024938;0.0105263;0.00735092;0.0105263
0;8;0:a1;[ps_1:a63];[measurements:o57];0.0249488;0;0.00735092;0.0105263
0;9;10:a11;[ps_1:a87];[measurements:o64];0.0196783;0.105263;0.073693;0.115789
0;10;19:a20;[ps_1:a76];[measurements:o90];0.0131497;0.2;0.19344;0.315789
0;11;28:a29;[ps_1:a59];[measurements:o53];0.0262964;0.29;0.358392;0.605789
0;12;12:a13;[ps_1:a98];[measurements:o76];0.0240602;0.126316;0.426648;0.732105
0;13;28:a29;[ps_1:a70];[measurements:o43];0.0112879;0.29;0.575518;1.02211
0;14;4:a5;[ps_1:a81];[measurements:o56];0.0165245;0.0421053;0.596051;1.06421
0;15;15:a16;[ps_1:a74];[measurements:o69];0.0226146;0.157895;0.669203;1.22211
0;16;21:a22;[ps_1:a74];[measurements:o74];0.020765;0.22;0.76603;1.44211
0;17;24:a25;[ps_1:a57];[measurements:o57];0.0242024;0.25;0.87056;1.69211
0;18;14:a15;[ps_1:a73];[measurements:o69];0.022426;0.147368;0.929097;1.83947
0;19;23:a24;[ps_1:a52];[measurements:o46];0.029511;0.24;1.01966;2.07947
0;20;7:a8;[ps_1:a52];[measurements:o46];0.029511;0.0736842;1.04608;2.15316
0;21;5:a6;[ps_1:a51];[measurements:o39];0.0274102;0.0526316;1.064;2.20579
0;22;7:a8;[ps_1:a54];[measurements:o60];0.0198175;0.0736842;1.08784;2.27947
0;23;14:a15;[ps_1:a40];[measurements:o41];0.031987;0.147368;1.13314;2.42684
0;24;6:a7;[ps_1:a41];[measurements:o39];0.0352315;0.0631579;1.15158;2.49
0;25;7:a8;[ps_1:a34];[measurements:o29];0.0450164;0.0736842;1.17202;2.56368
0;26;0:a1;[ps_1:a36];[measurements:o30];0.0422626;0;1.17202;2.56368
0;27;0:a1;[ps_1:a56];[measurements:o70];0.0124526;0;1.17202;2.56368
0;28;18:a19;[ps_1:a39];[measurements:o43];0.0273005;0.189474;1.21708;2.75316
0;29;6:a7;[ps_1:a40];[measurements:o32];0.0369947;0.0631579;1.23135;2.81632
0;30;1:a2;[ps_1:a56];[measurements:o40];0.0219818;0.0105263;1.23361;2.82684
0;31;7:a8;[ps_1:a52];[measurements:o38];0.0248164;0.0736842;1.24863;2.90053
0;32;2:a3;[ps_1:a70];[measurements:o79];0.0158355;0.0210526;1.25271;2.92158
0;33;25:a26;[ps_1:a50];[measurements:o44];0.0306514;0.26;1.30056;3.18158
0;34;8:a9;[ps_1:a59];[measurements:o37];0.0139632;0.0842105;1.31528;3.26579
0;35;1:a2;[ps_1:a97];[measurements:o91];0.0253003;0.0105263;1.31703;3.27632
0;36;31:a32;[ps_1:a79];[measurements:o65];0.0225265;0.32;1.36752;3.59632
0;37;19:a20;[ps_1:a46];[measurements:o38];0.0328557;0.2;1.39749;3.79632
0;38;3:a4;[ps_1:a48];[measurements:o81];0.0021783;0.0315789;1.40199;3.82789
0;39;26:a27;[ps_1:a35];[measurements:o39];0.0292558;0.27;1.43852;4.09789
0;40;2:a3;[ps_1:a59];[measurements:o63];0.0205371;0.0210526;1.44122;4.11895
0;41;17:a18;[ps_1:a33];[measurements:o33];0.040332;0.178947;1.46307;4.29789
0;42;2:a3;[ps_1:a34];[measurements:o26];0.0417196;0.0210526;1.46551;4.31895
0;43;0:a1;[ps_1:a54];[measurements:o48];0.0284736;0;1.46551;4.31895
0;44;7:a8;[ps_1:a77];[measurements:o69];0.0229648;0.0736842;1.47322;4.39263
0;45;20:a21;[ps_1:a55];[measurements:o41];0.0244331;0.21;1.4941;4.60263
0;46;6:a7;[ps_1:a70];[measurements:o69];0.0216268;0.0631579;1.50007;4.66579
0;47;23:a24;[ps_1:a44];[measurements:o42];0.0327763;0.24;1.52161;4.90579
0;48;8:a9;[ps_1:a74];[measurements:o75];0.0202891;0.0842105;1.52879;4.99
0;49;23:a24;[ps_1:a57];[measurements:o33];0.010194;0.24;1.54823;5.23
0;50;0:a1;[ps_1:a55];[measurements:o38];0.0205554;0;1.54823;5.23
0;51;4:a5;[ps_1:a70];[measurements:o70];0.0211449;0.0421053;1.55131;5.27211
0;52;21:a22;[ps_1:a67];[measurements:o91];0.00733284;0.22;1.56658;5.49211
0;53;32:a33;[ps_1:a21];[measurements:o23];0.0498942;0.33;1.58835;5.82211
0;54;0:a1;[ps_1:a22];[measurements:o26];0.0366914;0;1.58835;5.82211
0;55;0:a1;[ps_1:a21];[measurements:o18];0.0744244;0;1.58835;5.82211
0;56;0:a1;[ps_1:a37];[measurements:o33];0.0410103;0;1.58835;5.82211
0;57;0:a1;[ps_1:a48];[measurements:o54];0.0211846;0;1.58835;5.82211
0;58;8:a9;[ps_1:a50];[measurements:o36];0.0250103;0.0842105;1.59265;5.90632
0;59;5:a6;[ps_1:a45];[measurements:o58];0.0130879;0.0526316;1.5952;5.95895
0;60;16:a17;[ps_1:a40];[measurements:o36];0.037802;0.168421;1.60296;6.12737
0;61;2:a3;[ps_1:a49];[measurements:o35];0.0250792;0.0210526;1.60389;6.14842
0;62;2:a3;[ps_1:a55];[measurements:o36];0.0174385;0.0210526;1.60476;6.16947
0;63;1:a2;[ps_1:a55];[measurements:o61];0.0196158;0.0105263;1.60518;6.18
0;64;19:a20;[ps_1:a31];[measurements:o14];0.00436001;0.2;1.61268;6.38
0;65;0:a1;[ps_1:a43];[measurements:o39];0.0350617;0;1.61268;6.38
0;66;0:a1;[ps_1:a53];[measurements:o38];0.0233754;0;1.61268;6.38
0;67;0:a1;[ps_1:a74];[measurements:o74];0.020765;0;1.61268;6.38
0;68;22:a23;[ps_1:a39];[measurements:o24];0.020298;0.23;1.61971;6.61
0;69;0:a1;[ps_1:a77];[measurements:o48];0.0115835;0;1.61971;6.61
0;70;4:a5;[ps_1:a49];[measurements:o29];0.0132716;0.0421053;1.62087;6.65211
0;71;0:a1;[ps_1:a96];[measurements:o66];0.0179544;0;1.62087;6.65211
0;72;19:a20;[ps_1:a64];[measurements:o69];0.0189167;0.2;1.62585;6.85211
0;73;23:a24;[ps_1:a43];[measurements:o44];0.02997;0.24;1.63153;7.09211
0;74;7:a8;[ps_1:a32];[measurements:o40];0.020562;0.0736842;1.63318;7.16579
0;75;4:a5;[ps_1:a42];[measurements:o37];0.0363155;0.0421053;1.63408;7.20789
0;76;2:a3;[ps_1:a41];[measurements:o38];0.0361654;0.0210526;1.63451;7.22895
